AccountName,CategoryName,TransactionDate,Amount,Description
Main Checking,Entertainment,2026-05-19,-12.6,Entertainment purchase
Main Checking,Transportation,2026-05-19,-39.59,Transportation purchase
Main Checking,Subscriptions,2026-05-20,-21.23,Subscriptions purchase
Main Checking,Subscriptions,2026-05-22,-21.73,Subscriptions purchase
Main Checking,Paycheck,2026-05-24,2011.37,Biweekly paycheck
Main Checking,Transportation,2026-05-24,-76.41,Transportation purchase
Main Checking,Groceries,2026-05-25,-77.27,Groceries purchase
Main Checking,Dining Out,2026-05-27,-18.54,Dining Out purchase
Main Checking,Utilities,2026-05-28,-126.97,Utility bill
Main Checking,Dining Out,2026-05-28,-66.05,Dining Out purchase
Main Checking,Utilities,2026-05-31,-107.48,Utility bill
Main Checking,Rent,2026-06-01,-1450.0,Monthly rent
Main Checking,Groceries,2026-06-01,-113.99,Groceries purchase
Main Checking,Dining Out,2026-06-01,-47.97,Dining Out purchase
Main Checking,Dining Out,2026-06-04,-65.04,Dining Out purchase
Main Checking,Groceries,2026-06-05,-64.91,Groceries purchase
Main Checking,Groceries,2026-06-06,-85.44,Groceries purchase
Main Checking,Transportation,2026-06-06,-22.67,Transportation purchase
Main Checking,Paycheck,2026-06-07,1813.75,Biweekly paycheck
Main Checking,Subscriptions,2026-06-07,-12.14,Subscriptions purchase
Main Checking,Groceries,2026-06-09,-92.16,Groceries purchase
Main Checking,Groceries,2026-06-14,-42.15,Groceries purchase
Main Checking,Transportation,2026-06-14,-51.44,Transportation purchase
Main Checking,Utilities,2026-06-15,-166.01,Utility bill
Main Checking,Transportation,2026-06-15,-31.75,Transportation purchase
Main Checking,Subscriptions,2026-06-19,-15.84,Subscriptions purchase
Main Checking,Paycheck,2026-06-21,1868.37,Biweekly paycheck
Main Checking,Transportation,2026-06-21,-37.87,Transportation purchase
Main Checking,Freelance,2026-06-22,376.03,Freelance payment
Main Checking,Transportation,2026-06-24,-57.14,Transportation purchase
Main Checking,Subscriptions,2026-06-26,-23.84,Subscriptions purchase
Main Checking,Subscriptions,2026-06-27,-14.23,Subscriptions purchase
Main Checking,Transportation,2026-06-28,-34.27,Transportation purchase
Main Checking,Groceries,2026-06-29,-77.51,Groceries purchase
Main Checking,Transportation,2026-06-29,-84.47,Transportation purchase
Main Checking,Utilities,2026-06-30,-171.65,Utility bill
Main Checking,Entertainment,2026-06-30,-36.94,Entertainment purchase
Main Checking,Freelance,2026-06-30,512.08,Freelance payment
Main Checking,Rent,2026-07-01,-1450.0,Monthly rent
Main Checking,Entertainment,2026-07-01,-37.91,Entertainment purchase
Main Checking,Freelance,2026-07-04,422.88,Freelance payment
Main Checking,Paycheck,2026-07-05,1886.82,Biweekly paycheck
Main Checking,Dining Out,2026-07-08,-57.29,Dining Out purchase
Main Checking,Transportation,2026-07-08,-80.75,Transportation purchase
Main Checking,Transportation,2026-07-10,-22.6,Transportation purchase
Main Checking,Subscriptions,2026-07-10,-8.57,Subscriptions purchase
Main Checking,Groceries,2026-07-12,-77.07,Groceries purchase
Main Checking,Dining Out,2026-07-13,-60.97,Dining Out purchase
Main Checking,Entertainment,2026-07-13,-15.79,Entertainment purchase
Main Checking,Groceries,2026-07-14,-54.09,Groceries purchase
Main Checking,Subscriptions,2026-07-14,-8.91,Subscriptions purchase
Main Checking,Dining Out,2026-07-15,-21.76,Dining Out purchase
Main Checking,Entertainment,2026-07-15,-37.32,Entertainment purchase
Main Checking,Entertainment,2026-07-16,-39.26,Entertainment purchase
Main Checking,Transportation,2026-07-16,-55.75,Transportation purchase
Main Checking,Groceries,2026-07-17,-90.36,Groceries purchase
Main Checking,Subscriptions,2026-07-17,-13.34,Subscriptions purchase
Main Checking,Subscriptions,2026-07-18,-10.58,Subscriptions purchase
Main Checking,Paycheck,2026-07-19,1823.94,Biweekly paycheck
Main Checking,Transportation,2026-07-19,-34.92,Transportation purchase
Main Checking,Dining Out,2026-07-20,-29.09,Dining Out purchase
Main Checking,Groceries,2026-07-21,-47.96,Groceries purchase
Main Checking,Dining Out,2026-07-21,-23.5,Dining Out purchase
Main Checking,Entertainment,2026-07-21,-53.5,Entertainment purchase
Main Checking,Subscriptions,2026-07-21,-13.76,Subscriptions purchase
Main Checking,Freelance,2026-07-21,156.69,Freelance payment
Main Checking,Transportation,2026-07-22,-86.33,Transportation purchase
Main Checking,Subscriptions,2026-07-23,-16.43,Subscriptions purchase
Main Checking,Groceries,2026-07-24,-57.34,Groceries purchase
Main Checking,Groceries,2026-07-26,-71.34,Groceries purchase
Main Checking,Dining Out,2026-07-26,-58.5,Dining Out purchase
Main Checking,Transportation,2026-07-27,-40.88,Transportation purchase
Main Checking,Entertainment,2026-07-29,-38.66,Entertainment purchase
Main Checking,Dining Out,2026-07-30,-25.09,Dining Out purchase
Main Checking,Entertainment,2026-07-30,-55.17,Entertainment purchase
Main Checking,Transportation,2026-07-31,-65.25,Transportation purchase
Main Checking,Rent,2026-08-01,-1450.0,Monthly rent
Main Checking,Paycheck,2026-08-02,1869.84,Biweekly paycheck
Main Checking,Transportation,2026-08-02,-30.82,Transportation purchase
Main Checking,Dining Out,2026-08-04,-19.25,Dining Out purchase
Main Checking,Entertainment,2026-08-05,-16.51,Entertainment purchase
Main Checking,Dining Out,2026-08-06,-30.23,Dining Out purchase
Main Checking,Transportation,2026-08-07,-86.32,Transportation purchase
Main Checking,Subscriptions,2026-08-07,-14.5,Subscriptions purchase
Main Checking,Groceries,2026-08-09,-85.61,Groceries purchase
Main Checking,Freelance,2026-08-09,327.87,Freelance payment
Main Checking,Dining Out,2026-08-10,-56.91,Dining Out purchase
Main Checking,Transportation,2026-08-10,-72.11,Transportation purchase
Main Checking,Freelance,2026-08-10,486.16,Freelance payment
Main Checking,Groceries,2026-08-11,-89.58,Groceries purchase
Main Checking,Dining Out,2026-08-12,-73.88,Dining Out purchase
Main Checking,Entertainment,2026-08-13,-58.96,Entertainment purchase
Main Checking,Entertainment,2026-08-14,-17.78,Entertainment purchase
Main Checking,Subscriptions,2026-08-15,-16.32,Subscriptions purchase
Main Checking,Paycheck,2026-08-16,1830.3,Biweekly paycheck
Main Checking,Dining Out,2026-08-17,-63.16,Dining Out purchase
